Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
0,6809506527259215.0,3556208835775893.0,1336700889060239.8,5311020966622.8955,0,0
1051,4.718910672859447e+17,3.043862738816615e+17,9.202355432399229e+16,898679447075445.6,0,0
2102,5.074745898774662e+17,3.113248740449612e+17,9.224159350080594e+16,898809235266062.6,0,0
3153,5.2411398156377824e+17,3.144553224407723e+17,9.231283407962083e+16,898809278949873.6,0,0
4204,5.348047801186017e+17,3.1708035258357286e+17,9.239577767580045e+16,898809278964576.1,0,0
5255,5.431876751241525e+17,3.197292216578255e+17,9.24877713582539e+16,898809278964578.6,0,0
6306,5.5045928262764506e+17,3.2246198162586605e+17,9.258529033467179e+16,898809278964578.6,0,0
7357,5.570713070616389e+17,3.252512956472731e+17,9.26857512326056e+16,898809278964578.6,0,0
8408,5.632206884626883e+17,3.280599824203174e+17,9.278728730639942e+16,898809278964578.6,0,0
9459,5.690054238873328e+17,3.3085659369791846e+17,9.288856049253867e+16,898809278964578.6,0,0
10510,5.74480145000082e+17,3.336173521250836e+17,9.29886221470947e+16,898809278964578.6,0,0
11561,5.796786208907982e+17,3.363251492153923e+17,9.308681008989026e+16,898809278964578.6,0,0
12612,5.84623943158629e+17,3.3896811960057606e+17,9.318267250738603e+16,898809278964578.6,0,0
13663,5.893335055690047e+17,3.415383722800012e+17,9.327591172135384e+16,898809278964578.6,0,0
14714,5.938215442484544e+17,3.440309769575273e+17,9.336634265050336e+16,898809278964578.6,0,0
15765,5.981004553927725e+17,3.464431847154483e+17,9.345386213866222e+16,898809278964578.6,0,0
16816,6.021814789849252e+17,3.487738389373201e+17,9.353842631910051e+16,898809278964578.6,0,0
17867,6.060750501894363e+17,3.5102293402688365e+17,9.362003392135061e+16,898809278964578.6,0,0
18918,6.097909776206893e+17,3.531912867213725e+17,9.36987139718715e+16,898809278964578.6,0,0
19969,6.133385332737784e+17,3.552802923105411e+17,9.377451674305454e+16,898809278964578.6,0,0
21020,6.167264990683178e+17,3.572917444916888e+17,9.384750710328358e+16,898809278964578.6,0,0
22071,6.199631934445398e+17,3.5922770272537946e+17,9.391775964135944e+16,898809278964578.6,0,0
