Xe-140,Zr-98,Xe-142,Ba-137m,I-134,I-136,Y-97,Kr-85,Ba-142,Xe-139,Sr-92,Y-91m,I-132,Sr-93,Y-96,Rb-89,Rb-91,Rb-88,Cs-137,I-138,Sr-96,La-142,Cs-144,Xe-135m,Y-94,Cs-141,I-139,Ce-144,Nb-97,Kr-88,I-135,Sr-89,Nb-98,Kr-85m,Xe-138,Kr-89,Ba-140,Cs-134,Xe-137,Pr-144m,Xe-133m,I-131,La-143,I-133m,Ba-144,Kr-87,Kr-92,Kr-91,Kr-93,Sr-94,Ba-141,Cs-139,La-140,Y-91,Y-95,Xe-131m,Rb-92,Rb-93,Y-92,I-136m,Xe-135,Xe-133,Sr-91,La-141,Cs-140,Ba-139,Ba-143,Pr-144,I-129,Zr-97,Sr-97,Nb-95m,Xe-141,Cs-143,Nb-95,Cs-138,Ce-141,I-137,La-144,Sr-98,Y-98,Zr-95,I-140,Y-93,Sr-95,Cs-142,Ce-143,I-133,
5806908200519012.0,5667918536361.982,388.4235521161809,769340217.1063919,460085307401656.56,5648259043520375.0,6234121896.858097,484199940.6406704,2117333088164310.0,2.124643841470078e+16,74407633287390.28,64068617058.026306,107457721145261.23,478339353310720.2,261072178913.5396,387455661665554.75,1.33221931543547e+16,5380048173213.955,3684807593.772497,60544674694753.46,0.03478702218221693,15811914350179.805,0.12582209368962333,711025054721120.0,1644594087619.6646,1.948942169740345e+16,768587004.3276826,4428056706.855551,188568385.18862006,140427610077828.73,51868715673532.086,2630753083.2392063,6259153945027.118,33453622739981.51,3484184257111941.5,7751969376937031.0,1624752534977.8147,2813998202.946588,1.1659024839066602e+16,1802182.5018051455,109341933.45271249,875947429540.7806,697597277815959.2,755952629936924.0,546783166734722.44,227721836239574.66,58998586.51483632,1250550637355861.2,1585.1614621591702,33915498106142.523,1827714569897604.0,7454576748224909.0,239131912.6287653,27426264.27628728,4839157067213.4795,420218.84056594456,25550488976443.2,40095246240099.85,206193328134.03976,2367639251161782.0,105466611772990.61,7379322484028.995,17033262796873.084,3400753278709.2183,3.634620446094508e+16,54449058401140.94,2857681920232479.5,77339512.36693305,296.3999999999752,21900336524.829136,3.0425363101211768e-27,12.68794123281062,13169217.019898785,29722830.803673252,119.87496982121418,1677691597536975.5,18738083.823676113,4461295271607185.0,2539473075390717.0,1.6250814138604036e-13,1.7578757986649844e-12,23402902.031687412,4.006646710280212e-05,469402233162.1975,29295276443508.18,23003839.9403662,167475576767.13684,17270405242241.494,
6092542554898302.0,7507766165719.33,388.4235521161817,4338541960.820488,1362231594433500.0,1.1162096139028706e+16,6234219871.113467,1452599643.8440516,5958407190116068.0,3.1307106351476504e+16,222280761615084.66,820995542956.3395,320757204546460.44,1311813144480746.2,261174283112.28555,1968618214777193.0,2.318848282617147e+16,31378901922604.88,12375152366.43031,60621138888536.39,0.03478702218221693,92580336854263.7,0.12582209368962333,2039931505181868.2,7160218334639.889,2.382739573677715e+16,768587013.529022,19963265697.624344,1186557564.791252,419574945508647.2,155332935239686.78,25786857679.11856,8290928125635.1875,100102625673920.73,9958482542378520.0,1.896486394722221e+16,7485678835692.357,8441989217.684119,2.9491499491498604e+16,22376812.450092237,655712682.7524376,2627684589863.915,2082568345966513.2,763466814555525.0,561391840532701.6,677006021799172.5,58998586.52384469,1260388869609383.2,1585.1614621591846,64675403485279.69,6034872257769848.0,2.2938584583251532e+16,2824246392.026847,358284127.8697513,15555003012182.273,2521143.839863693,25552924317503.57,40127655534481.07,1340540055714.0618,3748318750437307.5,316000344380386.8,22135935152963.87,79788049275609.75,28246011971501.324,6.628452907336114e+16,354748876109941.0,3022128751094518.5,991802791.0135537,889.1999999998509,65656482461.29097,3.0425363101211768e-27,281.61931612669616,13169217.020376548,29722830.806087043,2660.8838126078954,5135058698450495.0,426865677.5470573,5427971108188871.0,3880954216104692.5,1.6250814138604036e-13,1.7578757986649844e-12,189968690.4169542,4.006646710280212e-05,2915224644012.288,35948241754650.17,23003839.940799,1242644955615.1946,51782452760531.69,
6093173023437705.0,7630260888554.825,388.4235521161817,10147567581.042894,2240867924624615.8,1.3195938302673996e+16,6234219871.113492,2420999109.610202,9328598646179476.0,3.254377640449969e+16,368875019182158.0,2684773741643.015,531920069248555.1,2003301393820450.8,261174283127.89075,4202056329204818.0,2.5551942588935716e+16,76279668505600.1,22372753965.36728,60621139010190.71,0.03478702218221693,222555469217164.88,0.12582209368962333,3253651054784172.0,13603293126144.596,2.3979813562446316e+16,768587013.529022,37434604716.294235,2998244466.9309115,696460482278036.0,258433938281009.53,85952715956.80191,8426201074953.521,166408781549817.56,1.5825707795545584e+16,2.6185701632065876e+16,14610316085723.334,14069973044.221775,4.189435623919723e+16,68164004.66668195,1638434935.1367586,4379211506205.9736,3341257838334845.5,763467542584368.1,561401745977800.1,1118200875039471.2,58998586.52384469,1260389469116870.2,1585.1614621591846,74867321428690.47,1.0024304041677564e+16,3.684183078426774e+16,9208287633.630278,1194813388.9851239,25157367916826.21,6302436.623159157,25552924317525.69,40127655555621.88,3425333754541.4624,3983555761937593.5,526002543180427.56,36889838504327.32,154971916299835.03,77153246858729.94,7.441755596992123e+16,894610983420639.2,3022618416779789.5,3119765475.8988657,1481.999999999627,109352291301.74452,3.0425363101211768e-27,1255.3234749500914,13169217.020376548,29722830.806087043,11861.65352014101,8702422194904618.0,1930894587.1144009,5460393737506002.0,4055477547237249.5,1.6250814138604036e-13,1.7578757986649844e-12,510028536.0670186,4.006646710280212e-05,7079027950425.0,36190248810775.16,23003839.940799,3241033388272.1846,86256185139464.78,
6093174415044047.0,7638416431917.83,388.4235521161817,17684321135.443737,3096606968091367.5,1.3946144352466622e+16,6234219871.113492,3389398337.939179,1.2285633618441894e+16,3.269578945469231e+16,514201465092742.9,5729062260692.633,740967717738755.4,2576991601004240.0,261174283127.89078,6749283229395843.0,2.611800957718461e+16,138495614612075.19,33279579511.174374,60621139010190.9,0.03478702218221693,398268966319293.44,0.12582209368962333,4362167869173983.0,20023876922787.496,2.3985168871945836e+16,768587013.529022,55157058949.35382,5606985015.119051,971102546669414.6,361172999888004.75,192075502122.658,8435207376437.128,232373853996534.16,2.1142783199646136e+16,3.0835749533972824e+16,22077211348031.273,19697949682.568737,5.052080088595601e+16,136117287.52294376,3056832214.2311335,6130528203800.497,4482881312998594.5,763467542654904.9,561401752694210.1,1551452043858784.0,58998586.52384469,1260389469153402.0,1585.1614621591846,78244288622993.75,1.372537601645886e+16,4.888340395960829e+16,19793774291.327717,2600910301.059903,33559115644691.574,11763758.867441053,25552924317525.69,40127655555621.9,6446107533420.277,4023634905293182.0,735474550134730.4,51641033035550.68,232988593601207.9,148363825336679.7,7.662135404396822e+16,1640034563986013.0,3022619874834542.0,6429865998.726267,2074.799999999304,152987846241.32465,3.0425363101211768e-27,3349.460306741319,13169217.020376548,29722830.806087043,31651.261549243198,1.235182106100417e+16,5218206944.997315,5461481203285175.0,4078087794264219.5,1.6250814138604036e-13,1.7578757986649844e-12,965282400.6328565,4.006646710280212e-05,12663307304849.002,36199052015432.805,23003839.940799,6076358879371.392,120691644916357.73,
6093174418115680.0,7638959417656.367,388.4235521161817,26521426625.188942,3930045428750180.5,1.4222866473389084e+16,6234219871.113492,4357797328.831041,1.4880161538050528e+16,3.2714475091473416e+16,658271063940016.4,9944022648529.045,947921338115779.9,3052951176792721.0,261174283127.89078,9401613255814964.0,2.6253587015906196e+16,216560392288819.34,44818788863.57916,60621139010190.9,0.03478702218221693,613182319352653.4,0.12582209368962333,5374600706881487.0,26130782467570.516,2.3985357034581732e+16,768587013.529022,72911993516.46445,8996453681.301361,1243519316477006.5,463551390674905.3,347981942477.9399,8435807004572.852,297999597570704.4,2.5961294443548108e+16,3.3830269897644084e+16,29636428598852.9,25325919132.734188,5.652067242824411e+16,222531876.90919098,4910228879.083232,7881634707877.998,5518319812686922.0,763467542654911.6,561401752698764.25,1976902553774559.0,58998586.52384469,1260389469153404.2,1585.1614621591846,79363205346491.64,1.7156118125960342e+16,5.926045060213571e+16,34687739201.925964,4605715594.323009,40903166453768.31,18904772.301413782,25552924317525.69,40127655555621.9,10388560257058.293,4030463497961797.0,944417703816867.1,66389519243973.99,311539944816375.9,240101278081843.5,7.72185026175678e+16,2558297825473369.0,3022619879176124.0,10839027524.096731,2667.5999999988812,196563230366.54858,3.0425363101211768e-27,6928.068557570761,13169217.020376548,29722830.806087043,65471.96733501737,1.605863333354281e+16,10922718540.257648,5461517677249372.0,4081016984854822.0,1.6250814138604036e-13,1.7578757986649844e-12,1538740559.9847739,4.006646710280212e-05,19421250023546.5,36199372239204.32,23003839.940799,9670061888797.229,155088874581302.75,
6093174418122460.0,7638995568958.511,388.4235521161817,36320275297.114334,4741764460397146.0,1.4324938607076882e+16,6234219871.113492,5326196082.285848,1.715662265155518e+16,3.2716771953627508e+16,801094685490528.5,15300579287900.088,1152801906237383.8,3447828960913893.0,261174283127.89078,1.203313708360362e+16,2.6286058865124896e+16,309118998080523.1,56797833951.22675,60621139010190.9,0.03478702218221693,861572650207541.4,0.12582209368962333,6299277931044927.0,31849408951437.94,2.3985363645810748e+16,768587013.529022,90671083722.65265,13150637417.333532,1513728822208977.5,565570376795386.6,554370522093.5697,8435846927053.995,363287757803402.1,3.0327990200712628e+16,3.575866986203252e+16,37220243806358.28,30953881394.727303,6.069370778615189e+16,324197360.0189787,7197950123.198358,9632531043665.963,6457449821143579.0,763467542654911.6,561401752698767.3,2394692855139175.5,58998586.52384469,1260389469153404.2,1585.1614621591846,79733944699907.69,2.0336176772643404e+16,6.819668975656928e+16,53917126607.98099,7229601995.865685,47322412389324.86,27725138.705490325,25552924317525.69,40127655555621.9,15238554848549.055,4031626937944038.5,1152833339420916.8,81135297626845.94,390075893052333.2,350714664436264.25,7.73803079857725e+16,3620869487013717.5,3022619879189051.5,16263561303.683762,3260.3999999983594,240078526649.36212,3.0425363101211768e-27,12309.233703409736,13169217.020376548,29722830.806087043,116332.64971708493,1.9801233867174444e+16,19627555733.205513,5461518900598272.0,4081396465739065.5,1.6250814138604036e-13,1.7578757986649844e-12,2215516596.150778,4.006646710280212e-05,27148099987243.484,36199383887605.99,23003839.940799,13950889474693.07,189447916577219.66,
6093174418122475.0,7638997975866.379,388.4235521161817,46821332793.54301,5532330071944579.0,1.436258908634051e+16,6234219871.113492,6294594598.303656,1.9154009213531572e+16,3.2717054286834384e+16,942683105504303.8,21765789462469.145,1355630187846374.0,3775437590563026.5,261174283127.89078,1.4570509928027688e+16,2.629383612512939e+16,414919410390045.3,69082793588.60548,60621139010190.9,0.03478702218221693,1138432509742307.2,0.12582209368962333,7143806019271185.0,37175355421560.84,2.3985363878101016e+16,768587013.529022,108430660062.67638,18053829702.022083,1781748948280824.2,667231219958225.6,810079622755.5743,8435849585042.181,428240071246569.2,3.4285235679753476e+16,3.700051362030778e+16,44810306271439.57,36581836468.55727,6.359614060918987e+16,438445580.3702919,9919321973.57596,11383217236388.842,7309229210249320.0,763467542654911.6,561401752698767.3,2804960869505622.0,58998586.52384469,1260389469153404.2,1585.1614621591846,79856784644369.03,2.3283865864474372e+16,7.58913887279362e+16,77487180824.9611,10490410868.012424,52933300656300.89,38224519.91178515,25552924317525.69,40127655555621.9,20982116607855.227,4031825162184078.5,1360722788769999.0,95878368681323.92,468465034411731.8,478674386301198.1,7.74241513076883e+16,4803205130496255.0,3022619879189090.0,22625321301.695457,3853.1999999977375,283533817947.2977,3.0425363101211768e-27,19770.844468574953,13169217.020376548,29722830.806087043,186863.09523819239,2.356068536559621e+16,31868749062.82458,5461518941629801.0,4081445628037307.0,1.6250814138604036e-13,1.7578757986649844e-12,2982597381.6218495,4.006646710280212e-05,35673993096948.086,36199384311326.13,23003839.940799,18854216590300.793,223768813299908.38,
6093174418122475.0,7638998136115.254,388.4235521161817,57830132079.53178,6302293522097108.0,1.4376476898200276e+16,6234219871.113492,7262992876.884523,2.0906533363536436e+16,3.271708899158998e+16,1083047006547852.0,29306504232490.773,1556426740675328.0,4047236659886330.5,261174283127.89078,1.6973560701359026e+16,2.6295698839284356e+16,532804854185910.4,81580522807.7983,60621139010190.9,0.03478702218221693,1439381963131374.0,0.12582209368962333,7915132135201381.0,42126029086009.664,2.39853638862627e+16,768587013.529022,126190247146.99257,23690624701.53462,2047597434199094.0,768535177442905.4,1112890671641.389,8435849762007.666,492858265519204.94,3.7871423647096056e+16,3.780023149442437e+16,52401643659042.164,42209784354.23326,6.561484296125233e+16,563073088.0482978,13073671289.747232,13133693311268.072,8081782659901615.0,763467542654911.6,561401752698767.3,3207842035158363.5,58998586.52384469,1260389469153404.2,1585.1614621591846,79897486155595.8,2.6016164717985228e+16,8.25169424751226e+16,105397267481.23413,14404957946.065865,57837625126681.59,50402577.80410705,25552924317525.69,40127655555621.9,27605431546543.246,4031858935176187.0,1568087380324783.5,110618732904474.1,546676239606474.75,622563491691650.4,7.743603124033773e+16,6084238677519676.0,3022619879189090.0,29852068129.49514,4445.999999997016,326929187003.63226,3.0425363101211768e-27,29555.65362896351,13169217.020376548,29722830.806087043,279361.72579825844,2.732045952040566e+16,48138699403.57211,5461518943006012.0,4081451997084257.0,1.6250814138604036e-13,1.7578757986649844e-12,3828608448.62882,4.006646710280212e-05,44858013241205.23,36199384326739.305,23003839.940799,24321429610686.176,258051607098101.16,
6093174418122475.0,7638998146784.421,388.4235521161817,69203310885.03494,7052191703742486.0,1.43815995771681e+16,6234219871.113492,8231390918.02851,2.244421312709268e+16,3.2717093257542524e+16,1222196978800146.0,37890225428721.47,1755211916530231.8,4272733571137214.5,261174283127.89078,1.9222863936039252e+16,2.6296144973786884e+16,661706646000762.8,94226237347.71074,60621139010190.9,0.03478702218221693,1760591455952966.8,0.12582209368962333,8619601276500760.0,46724715045383.836,2.398536388654947e+16,768587013.529022,143949783388.3738,30045911541.020645,2311291875735514.0,869483502115163.8,1460033028611.0972,8435849773789.803,557144059353317.25,4.112134690943303e+16,3.8315230804055544e+16,59992908680229.93,47837725051.76446,6.7018892403456824e+16,696262008.1494254,16660325762.813787,14883959293522.049,8782479155030785.0,763467542654911.6,561401752698767.3,3603469351824427.5,58998586.52384469,1260389469153404.2,1585.1614621591846,79910972102886.06,2.8548812083326544e+16,8.822189229254797e+16,137645160493.41956,18989405657.828842,62124361432181.04,64258974.31795211,25552924317525.69,40127655555621.9,35094844738617.598,4031864689341246.0,1774928439191980.5,125356390793271.34,624702395074051.1,781069444556064.1,7.743925026648787e+16,7445903588856921.0,3022619879189090.0,37877116197.50171,5038.799999996196,370264716447.5447,3.0425363101211768e-27,41875.70258388584,13169217.020376548,29722830.806087043,395837.3261254905,3.106618538833655e+16,68889392188.84076,5461518943052170.0,4081452822203515.5,1.6250814138604036e-13,1.7578757986649844e-12,4743607683.314406,4.006646710280212e-05,54583260855335.875,36199384327299.98,23003839.940799,30299367196373.363,292296340273514.8,
6093174418122475.0,7638998147494.761,388.4235521161817,80836448959.11133,7782547518325170.0,1.4383489136162158e+16,6234219871.113492,9199788721.735672,2.3793386577994236e+16,3.2717093781918812e+16,1360143520851630.0,47485291639848.016,1952005863353242.2,4459816099088053.0,261174283127.89078,2.1311790390301564e+16,2.62962518264641e+16,800637575694068.9,106974878408.28726,60621139010190.9,0.03478702218221693,2098714139342868.0,0.12582209368962333,9263008469377398.0,50995394309185.03,2.3985363886559544e+16,768587013.529022,161709260808.28207,37104868685.325,2572849726091607.0,970077442442487.9,1848497877669.5376,8435849774574.243,621099162639638.6,4.406653586976118e+16,3.864687812307237e+16,67583736300643.92,53465658561.16005,6.799543797202005e+16,836512803.7846166,20678613914.487434,16634015208366.152,9418002274508510.0,763467542654911.6,561401752698767.3,3991973424579473.5,58998586.52384469,1260389469153404.2,1585.1614621591846,79915440506363.81,3.0896396670758116e+16,9.31341523138749e+16,174228203678.8323,24259363658.973316,65871280760545.74,79793371.44049655,25552924317525.69,40127655555621.9,43436858687304.445,4031865669722712.5,1981247287132806.8,140091342844599.25,702542138384780.4,952976490067304.6,7.744012250454352e+16,8872715578182912.0,3022619879189090.0,46638918843.23631,5631.5999999952755,413540488794.2732,3.0425363101211768e-27,56916.18879228121,13169217.020376548,29722830.806087043,538045.5169860519,3.4785422408499416e+16,94535376666.7785,5461518943053719.0,4081452929098910.0,1.6250814138604036e-13,1.7578757986649844e-12,5718904955.000416,4.006646710280212e-05,64752761573195.484,36199384327320.37,23003839.940799,36739813163517.41,326503055080903.06,
