Isotope,Branching Frac.,Half Life,Gamma Emitter (Y/N),Max Significant Gamma Energy (MeV),Gamma Frequency,Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frc.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frc.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product
Kr-85,,10.756y,Y,0.514,0.0043,Rb-85(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kr-85m,,4.480hr,Y,0.1512,0.75,Kr-85,0.214,10.756y,Y,0.514,0.0043,Rb-85(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kr-87,,76.3m,Y,"0.4026 * 0.5, 0.8454 * 0.0730, 2.5548 * 0.0920, 2.5581 * 0.0390, 2.0119 * 0.0288, 1.7405 * 0.0204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kr-88,,2.84h,Y,2.3921,0.346,Rb-88,,17.78m,Y,1.836,0.214,Sr-88 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kr-89,,3.15m,?,,,Rb-89,,15.15m,Y,"1.2481 * 0.46, 3.5090 * 0.0125, 2.7073 * 0.0220, 2.5702 * 0.1070, 2.1959 * 0.1450, 2.0075 * 0.0258, 1.5381 * 0.0277, 1.0319 * 0.6300, 0.9477 * 0.1000, 0.6578 * 0.1080",,Sr-89,,50.53d,Y,0.909,0.0001,Y-89 (stable),,,,,,,,,,,,,,,,,,,,,,,,
Kr-91,,8.57s,?,,,Rb-91,,58.2s,?,,,Sr-91,,9.63h,Y,1.0243,0.335,Y-91m,0.582,49.71m,Y,0.5556,0.95,Y-91,,58.51d,Y,1.2048,0.0026,Zr-91(stable),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Y-91,0.418,58.51d,Y,1.2048,0.0026,Zr-91(stable),,,,,,,,,,,,,,,,,,
Kr-92,,1.840s,?,,,Rb-92,,4.492s,?,,,Sr-92,,2.66h,Y,1.3839,0.9,Y-92,,3.54h,Y,"0.9345 * 0.139, 1.4054 * 0.0480, 0.8443 * 0.0125, 0.5611 * 0.0240, 0.4485 * 0.0230",,Zr-92(stable),,,,,,,,,,,,,,,,,,
Kr-93,,1.286s,?,,,Rb-93,,5.84s,?,,,Sr-93,,7.423m,?,,,Y-93,,10.18h,Y,"1.9178 * 0.0154, 0.9471 * 0.0210, 0.2669 * 0.0730",,,,,,,,,,,,,,,,,,,,
Xe-133,,5.243d,Y,0.081,0.38,Cs-133(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe-135,,9.14h,Y,"0.2498 * 0.9, 0.6082 * 0.0290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe-135m,,15.29m,Y,0.5266,0.8,Xe-135,0.994,9.14h,Y,"0.2498 * 0.9, 0.6082 * 0.0290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe-137,,3.818m,?,,,Cs-137,,30.1671y,N,,,Ba-137m,0.944,2.552m,Y,0.6617,0.9011,Ba-137(stable),,,,,,,,,,,,,,,,,,,,,,,,
