Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
0,5.2292285729072744e+16,1.0094052081631576e+16,267091559106945.62,74576258606.78319,0,0
1,7.186856631018187e+16,1.3978451951365872e+16,367787741662621.0,74577559608.70425,0,0
2,8.420431066484347e+16,1.7564057127885708e+16,489860601300276.5,74577559631.40057,0,0
3,9.416728061193523e+16,2.1308011563542548e+16,623502301206985.5,74577559631.40097,0,0
4,1.0297586408285075e+17,2.5146605997920588e+16,762003376234741.6,74577559631.40097,0,0
5,1.1102909972191042e+17,2.8988153075879624e+16,901071510946697.2,74577559631.40097,0,0
6,1.1849289501492942e+17,3.2766015440114484e+16,1038006885349465.1,74577559631.40097,0,0
7,1.2545157962128624e+17,3.6437424724335944e+16,1171155907484481.2,74577559631.40097,0,0
8,1.3195698150946698e+17,3.997683316031198e+16,1299550177729741.8,74577559631.40097,0,0
9,1.3804691209109629e+17,4.337035411864968e+16,1422667989527890.0,74577559631.40097,0,0
10,1.4375260184370531e+17,4.661179845966268e+16,1540276883768542.5,74577559631.40097,0,0
11,1.4910172351911702e+17,4.9699967368620056e+16,1652329811772719.2,74577559631.40097,0,0
12,1.5411960105715296e+17,5.263683442115385e+16,1758896749502171.2,74577559631.40097,0,0
13,1.588296848913369e+17,5.542633624978935e+16,1860119750532087.2,74577559631.40097,0,0
14,1.6325374737487958e+17,5.807357378627181e+16,1956183490912673.5,74577559631.40097,0,0
15,1.6741198411063754e+17,6.058428831802298e+16,2047296048896668.2,74577559631.40097,0,0
16,1.71323092543306e+17,6.2964520556013224e+16,2133676442141509.8,74577559631.40097,0,0
17,1.7500435154123587e+17,6.522039112133361e+16,2215546622403632.2,74577559631.40097,0,0
18,1.784717069728697e+17,6.7357961330218136e+16,2293126406706995.0,74577559631.40097,0,0
19,1.8173986178500765e+17,6.938314691603798e+16,2366630339313661.0,74577559631.40097,0,0
20,1.8482236751966752e+17,7.130166652480338e+16,2436265819754782.0,74577559631.40097,0,0
21,1.877317144343329e+17,7.311901294837851e+16,2502232057715182.0,74577559631.40097,0,0
22,1.9047941812677766e+17,7.484043913224363e+16,2564719564752487.0,74577559631.40097,0,0
23,1.9307610131803142e+17,7.647095369702413e+16,2623909991508057.0,74577559631.40097,0,0
24,1.9553157005844966e+17,7.801532250407837e+16,2679976184325114.0,74577559631.40097,0,0
25,1.978548840681185e+17,7.947807398145672e+16,2733082378338833.0,74577559631.40097,0,0
26,2.0005442122598067e+17,8.086350671132443e+16,2783384472626214.0,74577559631.40097,0,0
27,2.021379364150344e+17,8.217569829885418e+16,2831030351850839.0,74577559631.40097,0,0
28,2.0411261504441517e+17,8.34185148854443e+16,2876160231284368.0,74577559631.40097,0,0
29,2.0598512162776582e+17,8.459562089542619e+16,2918907010299976.5,74577559631.40097,0,0
30,2.0776164381944426e+17,8.571048875461842e+16,2959396624846360.0,74577559631.40097,0,0
31,2.0944793230895706e+17,8.676640841726974e+16,2997748392973061.0,74577559631.40097,0,0
32,2.1104933695866288e+17,8.776649660238949e+16,3034075349816100.0,74577559631.40097,0,0
33,2.1257083954642922e+17,8.871370568262952e+16,3068484569982386.5,74577559631.40097,0,0
34,2.1401708344760934e+17,8.961083219632235e+16,3101077476266689.0,74577559631.40097,0,0
35,2.1539240056206538e+17,9.046052497100043e+16,3131950134277715.0,74577559631.40097,0,0
36,2.1670083576360813e+17,9.126529285803653e+16,3161193532960220.5,74577559631.40097,0,0
37,2.1794616912213216e+17,9.202751208514091e+16,3188893851257415.0,74577559631.40097,0,0
38,2.1913193612341853e+17,9.274943323777664e+16,3215132711314867.0,74577559631.40097,0,0
39,2.202614460882935e+17,9.343318788306782e+16,3239987418718216.5,74577559631.40097,0,0
40,2.2133779897164813e+17,9.408079485110664e+16,3263531190305315.0,74577559631.40097,0,0
41,2.2236390070268717e+17,9.469416618913272e+16,3285833370114003.0,74577559631.40097,0,0
42,2.2334247721058365e+17,9.527511280413738e+16,3306959634029566.5,74577559631.40097,0,0
43,2.2427608726433194e+17,9.582534980921552e+16,3326972183687622.5,74577559631.40097,0,0
44,2.2516713424185462e+17,9.634650158857064e+16,3345929930173026.5,74577559631.40097,0,0
45,2.2601787693118704e+17,9.684010659554946e+16,3363888668036208.0,74577559631.40097,0,0
46,2.2683043945566896e+17,9.730762189749373e+16,3380901240126989.5,74577559631.40097,0,0
47,2.276068204053937e+17,9.775042748058213e+16,3397017693723653.0,74577559631.40097,0,0
48,2.2834890124855373e+17,9.816983032721224e+16,3412285428412405.0,74577559631.40097,0,0
49,2.2905845408867206e+17,9.85670682778588e+16,3426749336150181.5,74577559631.40097,0,0
50,2.2973714882690544e+17,9.894331368874715e+16,3440451933921982.5,74577559631.40097,0,0
51,2.3038655978255926e+17,9.929967689610053e+16,3453433489382992.0,74577559631.40097,0,0
52,2.3100817181957008e+17,9.963720949716672e+16,3465732139855575.0,74577559631.40097,0,0
53,2.316033860219246e+17,9.99569074576988e+16,3477384005032071.0,74577559631.40097,0,0
54,2.3217352495671786e+17,1.0025971405505888e+17,3488423293715895.5,74577559631.40097,0,0
55,2.327198375597508e+17,1.0054652266563326e+17,3498882404916093.0,74577559631.40097,0,0
56,2.332435036751768e+17,1.008181794047898e+17,3508792023593837.5,74577559631.40097,0,0
57,2.3374563827768045e+17,1.0107548562717608e+17,3518181211343728.0,74577559631.40097,0,0
58,2.342272954029637e+17,1.0131920029474362e+17,3527077492277737.0,74577559631.40097,0,0
59,2.3468947180990234e+17,1.0155004221949558e+17,3535506934365587.5,74577559631.40097,0,0
60,2.351331103955615e+17,1.0176869218758368e+17,3543494226471868.5,74577559631.40097,0,0
61,2.355591033823285e+17,1.019757949710317e+17,3551062751317556.0,74577559631.40097,0,0
62,2.359682952946725e+17,1.0217196123302968e+17,3558234654581527.5,74577559631.40097,0,0
63,2.363614857414841e+17,1.023577693324296e+17,3565030910346277.0,74577559631.40097,0,0
64,2.367394320185402e+17,1.0253376703277448e+17,3571471383081229.5,74577559631.40097,0,0
65,2.3710285154437632e+17,1.0270047312091221e+17,3577574886346842.5,74577559631.40097,0,0
66,2.3745242414170947e+17,1.0285837893997683e+17,3583359238392956.0,74577559631.40097,0,0
67,2.3778879417552806e+17,1.0300794984126782e+17,3588841314815723.5,74577559631.40097,0,0
68,2.381125725580371e+17,1.0314962655931813e+17,3594037098428718.0,74577559631.40097,0,0
69,2.384243386298078e+17,1.0328382651421451e+17,3598961726495610.5,74577559631.40097,0,0
