Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
0,6809506527259215.0,3556208835775893.0,1336700889060239.8,5311020966622.8955,0,0
28,1.569501844642092e+17,1.1423941858616622e+17,3.639340254652992e+16,413424500657058.0,0,0
56,2.3425957493896438e+17,1.7949675025180342e+17,5.526458470681455e+16,597934241249071.0,0,0
84,2.793229942516709e+17,2.1669699765901312e+17,6.591445539489002e+16,681525735706147.5,0,0
112,3.089376627842824e+17,2.3882350466352963e+17,7.249194338700424e+16,730470187920353.1,0,0
140,3.302230556719785e+17,2.5259918533183392e+17,7.684523736078902e+16,764796363573181.8,0,0
168,3.4651655116606854e+17,2.6162603377119632e+17,7.98893235896478e+16,791074893689105.1,0,0
196,3.595578316765984e+17,2.6788221970502138e+17,8.211655777350293e+16,811903787013838.2,0,0
224,3.7034306656369165e+17,2.7247450501482288e+17,8.380830438677246e+16,828622687926065.5,0,0
252,3.794874223026006e+17,2.7603211378314586e+17,8.513290901232858e+16,842102070329620.0,0,0
280,3.873937464416429e+17,2.7891872548752525e+17,8.619520330842274e+16,852986294516356.9,0,0
308,3.9433827580010816e+17,2.813486916822825e+17,8.70630469919254e+16,861779642847302.4,0,0
336,4.005175825052161e+17,2.8345152409743866e+17,8.778211309936205e+16,868885066652432.9,0,0
364,4.0607589077124736e+17,2.853079853350121e+17,8.83843476108663e+16,874626929727030.8,0,0
392,4.1112175814016237e+17,2.869704283739121e+17,8.889291997822483e+16,879267004780970.6,0,0
420,4.157386751224611e+17,2.884743395278481e+17,8.932518690493842e+16,883016738132781.6,0,0
448,4.19992034464529e+17,2.8984494371296826e+17,8.969451259700224e+16,886046977025073.1,0,0
476,4.2393385451084595e+17,2.911010252339499e+17,9.001141988828192e+16,888495779350968.8,0,0
504,4.2760606903186944e+17,2.92257170278196e+17,9.028434238080677e+16,890474710663687.4,0,0
532,4.31042875548253e+17,2.933251090117939e+17,9.05201332418057e+16,892073928984631.9,0,0
560,4.342724486315865e+17,2.9431453953866374e+17,9.072442154749509e+16,893366292854045.0,0,0
588,4.3731821413413677e+17,2.952336501492774e+17,9.09018701393845e+16,894410680833733.6,0,0
616,4.40199812806834e+17,2.9608946304541754e+17,9.105636770320034e+16,895254673986510.1,0,0
644,4.4293383957441786e+17,2.968880701654113e+17,9.119117539925203e+16,895936723624011.4,0,0
672,4.455344177521446e+17,2.976348020035656e+17,9.13090410511505e+16,896487903105403.1,0,0
700,4.480136498333151e+17,2.983343534244807e+17,9.141228948604838e+16,896933323503061.9,0,0
728,4.5038197466467283e+17,2.9899088081435046e+17,9.150289489550942e+16,897293277632996.4,0,0
756,4.526484527509553e+17,2.9960807934164685e+17,9.158253935762736e+16,897584164571134.9,0,0
784,4.548209957943673e+17,3.001892458501727e+17,9.165266052976635e+16,897819236775461.6,0,0
812,4.5690655256674355e+17,3.007373309819435e+17,9.171449075639381e+16,898009203852020.1,0,0
840,4.589112603120873e+17,3.012549829629587e+17,9.176908930233832e+16,898162720471645.9,0,0
868,4.6084056874614016e+17,3.0174458476259437e+17,9.181736903744227e+16,898286780666329.4,0,0
896,4.626993421323252e+17,3.0220828587530726e+17,9.186011861458469e+16,898387036468876.4,0,0
924,4.644919437168128e+17,3.0264802966737984e+17,9.189802096850749e+16,898468055412704.6,0,0
952,4.6622230589403546e+17,3.030655770211506e+17,9.193166879787226e+16,898533528623154.9,0,0
980,4.6789398877332e+17,3.034625268592508e+17,9.19615775642673e+16,898586438980709.9,0,0
1008,4.6951022927439706e+17,3.038403340207191e+17,9.198819644038685e+16,898629197017429.5,0,0
1036,4.710739824558148e+17,3.042003248767018e+17,9.201191755889405e+16,898663750737884.4,0,0
1064,4.7258795644751085e+17,3.045437110077958e+17,9.203308384887774e+16,898691674367893.5,0,0
1092,4.7405464209592966e+17,3.04871601212805e+17,9.205199569484214e+16,898714240074353.4,0,0
1120,4.754763382213502e+17,3.051850120764044e+17,9.206891661118523e+16,898732475923627.6,0,0
1148,4.7685517322058374e+17,3.0548487728856256e+17,9.20840780910909e+16,898747212719009.9,0,0
1176,4.781931236147557e+17,3.057720558799176e+17,9.209768376109e+16,898759121851119.5,0,0
1204,4.794920300345204e+17,3.0604733951345114e+17,9.210991294999098e+16,898768745885648.1,0,0
1232,4.8075361104832435e+17,3.0631145895277325e+17,9.212092376244413e+16,898776523281999.1,0,0
1260,4.819794751689989e+17,3.0656508981048723e+17,9.213085573230139e+16,898782808368967.4,0,0
1288,4.831711313167659e+17,3.068088576658365e+17,9.213983211852886e+16,898787887487533.1,0,0
