Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
0,73105055313952.97,44856345316868.88,20755142590767.684,1719792516.5235648,0,0
1728,1.5694475332984042e+17,1.1364616709307077e+17,3.639219456637439e+16,406986792890706.0,0,0
3456,2.3703868027241184e+17,1.8121558606476906e+17,5.5945930884499816e+16,598969135771375.2,0,0
5184,2.830180803611514e+17,2.1912378478215818e+17,6.680291524178261e+16,684040510369112.6,0,0
6912,3.1296940022963155e+17,2.4136992866533603e+17,7.343229776179275e+16,733427340864952.2,0,0
8640,3.343895954233248e+17,2.5507465720761744e+17,7.77843641891948e+16,767965008854809.4,0,0
10368,3.5073723921429075e+17,2.6399114475996394e+17,8.081003401630715e+16,794323567039070.1,0,0
12096,3.6379671070936115e+17,2.7014901329587088e+17,8.301484244706661e+16,815123635481233.8,0,0
13824,3.7458310049457754e+17,2.7466721437898106e+17,8.46847140380431e+16,831730918841641.5,0,0
15552,3.837204471377834e+17,2.781731476597859e+17,8.59892327028032e+16,845043460790524.6,0,0
17280,3.9161603414358214e+17,2.810249207857183e+17,8.703328713433147e+16,855729174674349.4,0,0
19008,3.9854840599487155e+17,2.834313940836e+17,8.788446971890389e+16,864310216158800.8,0,0
20736,4.0471536434224384e+17,2.855178017904113e+17,8.858817273642357e+16,871202151140421.6,0,0
22464,4.102617913318949e+17,2.873619318595935e+17,8.917613373822808e+16,876737741235951.8,0,0
24192,4.1529658430293504e+17,2.890142190693952e+17,8.967138841555309e+16,881183991168478.5,0,0
25920,4.199033871745565e+17,2.905089897078152e+17,9.009121315732882e+16,884755290222519.5,0,0
27648,4.241476320243722e+17,2.918708140255716e+17,9.044892317859616e+16,887623820020837.6,0,0
29376,4.2808130510302496e+17,2.9311814032836614e+17,9.075500729304454e+16,889927874688655.4,0,0
31104,4.3174626380913005e+17,2.94265409826185e+17,9.101786994678243e+16,891778533169499.9,0,0
32832,4.351766033783122e+17,2.953243159437395e+17,9.124433471761266e+16,893265015714484.8,0,0
34560,4.384003830422561e+17,2.9630457682858394e+17,9.14399985112452e+16,894458985552613.1,0,0
36288,4.4144090932526515e+17,2.9721442689061555e+17,9.160948909094722e+16,895418003867345.1,0,0
38016,4.443177059511762e+17,2.9806094301082195e+17,9.175665773935445e+16,896188304842245.1,0,0
39744,4.470472573154309e+17,2.988502709633716e+17,9.188472681908606e+16,896807024613620.0,0,0
41472,4.4964358531973024e+17,2.995877896591748e+17,9.199640492524142e+16,897303991601907.0,0,0
43200,4.521187016020625e+17,3.002782351525646e+17,9.20939780695197e+16,897703164537580.5,0,0
44928,4.5448296529985856e+17,3.0092579749755546e+17,9.217938270705834e+16,898023787509185.5,0,0
46656,4.567453683403819e+17,3.01534198481143e+17,9.22542647408951e+16,898281317719111.5,0,0
48384,4.589137645597381e+17,3.0210675532786246e+17,9.232002753301174e+16,898488170673821.9,0,0
50112,4.609950548964768e+17,3.026464337358087e+17,9.23778711956787e+16,898654318734217.6,0,0
51840,4.629953379668308e+17,3.031558925532084e+17,9.242882490385742e+16,898787771882189.1,0,0
53568,4.649200331672717e+17,3.036375217476258e+17,9.247377358212734e+16,898894963881066.4,0,0
55296,4.6677398183872986e+17,3.04093474894323e+17,9.251348003110283e+16,898981062446726.9,0,0
57024,4.685615308123668e+17,3.045256971237463e+17,9.254860333900965e+16,899050218382678.8,0,0
58752,4.702866017319494e+17,3.049359492674699e+17,9.257971425475152e+16,899105765689891.9,0,0
60480,4.7195274883750176e+17,3.0532582879607616e+17,9.26073080664195e+16,899150382298663.9,0,0
62208,4.735632073450754e+17,3.056967880329305e+17,9.263181542475424e+16,899186219171379.1,0,0
63936,4.7512093412896134e+17,3.0605015004325005e+17,9.265361146807344e+16,899215004000199.5,0,0
65664,4.766286420766632e+17,3.063871225310871e+17,9.267302353884934e+16,899238124498933.4,0,0
67392,4.7808882922201184e+17,3.06708810023275e+17,9.269033772889166e+16,899256695304582.4,0,0
69120,4.7950380355186797e+17,3.0701622457571014e+17,9.270580444719907e+16,899271611713888.6,0,0
70848,4.808757042146527e+17,3.07310295201472e+17,9.271964316988418e+16,899283592845497.8,0,0
72576,4.8220651972528915e+17,3.0759187619053254e+17,9.273204650348282e+16,899293216308605.9,0,0
74304,4.8349810365376614e+17,3.07861754465988e+17,9.274318367012832e+16,899300946049434.9,0,0
76032,4.847521881979966e+17,3.081206561009256e+17,9.275320350447002e+16,899307154718041.6,0,0
77760,4.859703959716215e+17,3.0836925210252154e+17,9.27622370370217e+16,899312141633737.9,0,0
79488,4.871542502805369e+17,3.086081635551304e+17,9.277039972618114e+16,899316147215246.1,0,0
81216,4.883051841155885e+17,3.088379662015741e+17,9.277779339094824e+16,899319364571262.2,0,0
82944,4.894245480510008e+17,3.090591945311414e+17,9.278450788795904e+16,899321948810208.4,0,0
84672,4.905136172070232e+17,3.092723454336684e+17,9.279062256950917e+16,899324024517993.5,0,0
86400,4.915735974096875e+17,3.094778814712379e+17,9.27962075534869e+16,899325691764289.1,0,0
88128,4.9260563065958675e+17,3.096762338125707e+17,9.280132483141686e+16,899327030926876.4,0,0
89856,4.936108000038745e+17,3.098678048689386e+17,9.280602923674192e+16,899328106566656.4,0,0
91584,4.945901338914466e+17,3.10052970666046e+17,9.28103692922776e+16,899328970540116.6,0,0
93312,4.9554461007901914e+17,3.102320829816798e+17,9.28143879529213e+16,899329664499334.1,0,0
95040,4.9647515914577555e+17,3.104054712753449e+17,9.281812325739402e+16,899330221900016.2,0,0
96768,4.973826676658104e+17,3.105734444328969e+17,9.282160890082995e+16,899330669614395.6,0,0
98496,4.9826798108050355e+17,3.107362923463926e+17,9.282487473837176e+16,899331029226738.6,0,0
100224,4.991319063069805e+17,3.1089428734696096e+17,9.282794722852533e+16,899331318073921.9,0,0
101952,4.999752141137683e+17,3.1104768550638906e+17,9.283084982383686e+16,899331550081240.1,0,0
103680,5.007986412905046e+17,3.1119672782127686e+17,9.283360331543883e+16,899331736433743.1,0,0
105408,5.016028926349086e+17,3.1134164129200864e+17,9.283622613714446e+16,899331886115467.4,0,0
107136,5.023886427771716e+17,3.114826399073773e+17,9.283873463402707e+16,899332006342553.9,0,0
108864,5.031565378592701e+17,3.116199255444723e+17,9.284114329978368e+16,899332102911139.9,0,0
110592,5.03907197084479e+17,3.1175368879235155e+17,9.284346498663242e+16,899332180476786.6,0,0
112320,5.046412141504228e+17,3.118841097070706e+17,9.28457110910202e+16,899332242778926.1,0,0
114048,5.053591585773561e+17,3.1201135850480326e+17,9.284789171800734e+16,899332292821139.4,0,0
115776,5.060615769419444e+17,3.1213559619905376e+17,9.285001582684133e+16,899332333015956.5,0,0
117504,5.067489940255847e+17,3.122569751873055e+17,9.285209135992283e+16,899332365301165.2,0,0
119232,5.0742191388523744e+17,3.1237563979187974e+17,9.285412535710086e+16,899332391233233.0,0,0
120960,5.08080820853834e+17,3.124917267592702e+17,9.285612405699782e+16,899332412062342.9,0,0
122688,5.087261804765182e+17,3.1260536572176845e+17,9.285809298686427e+16,899332428792663.4,0,0
124416,5.093584403882888e+17,3.1271667962479834e+17,9.286003704228192e+16,899332442230760.2,0,0
126144,5.099780311379825e+17,3.128257851230259e+17,9.286196055788043e+16,899332453024485.4,0,0
127872,5.105853669630704e+17,3.129327929479927e+17,9.286386737009328e+16,899332461694201.8,0,0
129600,5.1118084651914406e+17,3.1303780824974957e+17,9.286576087286194e+16,899332468657876.4,0,0
131328,5.1176485356777216e+17,3.131409309147161e+17,9.286764406708766e+16,899332474251226.1,0,0
133056,5.123377576258108e+17,3.132422558617671e+17,9.28695196045417e+16,899332478743906.1,0,0
134784,5.128999145790871e+17,3.1334187331836134e+17,9.287138982685896e+16,899332482352509.9,0,0
136512,5.134516672630996e+17,3.134398690783396e+17,9.287325680017133e+16,899332485251004.9,0,0
138240,5.1399334601304083e+17,3.1353632474287565e+17,9.287512234587168e+16,899332487579128.9,0,0
139968,5.145252691853012e+17,3.136313179459141e+17,9.287698806794346e+16,899332489449120.5,0,0
141696,5.15047743652397e+17,3.1372492256530566e+17,9.287885537724174e+16,899332490951132.4,0,0
143424,5.155610652730883e+17,3.138172089207461e+17,9.2880725513068e+16,899332492157575.0,0,0
145152,5.160655193393135e+17,3.139082439595127e+17,9.288259956234115e+16,899332493126612.4,0,0
146880,5.165613810014091e+17,3.139980914309135e+17,9.288447847663462e+16,899332493904960.6,0,0
148608,5.1704891567297485e+17,3.140868120502745e+17,9.288636308731672e+16,899332494530146.1,0,0
150336,5.175283794166323e+17,3.141744636532228e+17,9.288825411900752e+16,899332495032304.5,0,0
152064,5.180000193118161e+17,3.142611013409572e+17,9.289015220153931e+16,899332495435647.1,0,0
153792,5.1846407380565926e+17,3.143467776171372e+17,9.289205788058734e+16,899332495759619.0,0,0
155520,5.18920773047945e+17,3.144315425169687e+17,9.289397162711934e+16,899332496019839.1,0,0
157248,5.193703392110264e+17,3.1451544372901856e+17,9.289589384579523e+16,899332496228852.9,0,0
158976,5.1981298679555226e+17,3.145985267102435e+17,9.289782488243374e+16,899332496396736.4,0,0
160704,5.2024892292277056e+17,3.14680834794684e+17,9.28997650306501e+16,899332496531583.6,0,0
162432,5.206783476141378e+17,3.147624092962315e+17,9.290171453775598e+16,899332496639895.4,0,0
164160,5.2110145405889197e+17,3.148432896058511e+17,9.29036736100051e+16,899332496726893.6,0,0
165888,5.2151842887023354e+17,3.1492351328361274e+17,9.290564241725566e+16,899332496796771.9,0,0
167616,5.219294523306823e+17,3.150031161458502e+17,9.290762109711576e+16,899332496852899.6,0,0
169344,5.2233469862716397e+17,3.150821323477514e+17,9.290960975862824e+16,899332496897982.4,0,0
171072,5.227343360763324e+17,3.151605944616546e+17,9.291160848554578e+16,899332496934193.6,0,0
172800,5.2312852734061805e+17,3.152385335513125e+17,9.29136173392434e+16,899332496963279.4,0,0
174528,5.235174296354393e+17,3.1531597924235584e+17,9.291563636130661e+16,899332496986641.1,0,0
176256,5.2390119492800115e+17,3.153929597891876e+17,9.291766557583166e+16,899332497005405.9,0,0
177984,5.242799701280942e+17,3.154695021385061e+17,9.291970499147262e+16,899332497020478.1,0,0
179712,5.24653897271234e+17,3.1554563198965466e+17,9.292175460325531e+16,899332497032584.4,0,0
181440,5.250231136945454e+17,3.156213738519771e+17,9.292381439419814e+16,899332497042308.4,0,0
183168,5.253877522056643e+17,3.156967510993415e+17,9.292588433674395e+16,899332497050118.9,0,0
184896,5.257479412450148e+17,3.157717860219969e+17,9.29279643940371e+16,899332497056392.2,0,0
186624,5.2610380504174534e+17,3.158464998759013e+17,9.293005452105712e+16,899332497061431.4,0,0
188352,5.2645546376361043e+17,3.15920912929663e+17,9.293215466562894e+16,899332497065479.1,0,0
190080,5.268030336610366e+17,3.159950445092222e+17,9.293426476931485e+16,899332497068730.4,0,0
191808,5.271466272056641e+17,3.160689130403919e+17,9.293638476821104e+16,899332497071341.6,0,0
193536,5.2748635322358035e+17,3.1614253608937434e+17,9.293851459365394e+16,899332497073437.8,0,0
195264,5.278223170234713e+17,3.162159304013539e+17,9.294065417284782e+16,899332497075122.1,0,0
196992,5.281546205199167e+17,3.1628911193727206e+17,9.294280342942173e+16,899332497076475.1,0,0
198720,5.284833623520238e+17,3.1636209590887334e+17,9.294496228392438e+16,899332497077564.0,0,0
200448,5.288086379976072e+17,3.164348968121149e+17,9.294713065426282e+16,899332497078434.1,0,0
202176,5.2913053988307686e+17,3.16507528459018e+17,9.294930845609317e+16,899332497079135.9,0,0
203904,5.2944915748923104e+17,3.165800040080435e+17,9.295149560316536e+16,899332497079696.9,0,0
205632,5.2976457745311885e+17,3.166523359930662e+17,9.29536920076308e+16,899332497080152.4,0,0
207360,5.300768836661382e+17,3.1672453635101203e+17,9.295589758031346e+16,899332497080518.9,0,0
209088,5.3038615736848595e+17,3.167966164482325e+17,9.295811223095168e+16,899332497080807.4,0,0
210816,5.30692477240153e+17,3.168685871056699e+17,9.29603358684119e+16,899332497081034.1,0,0
212544,5.3099591948857837e+17,3.16940458622881e+17,9.296256840087838e+16,899332497081226.6,0,0
214272,5.312965579330943e+17,3.1701224080096486e+17,9.296480973601872e+16,899332497081370.1,0,0
216000,5.3159446408630035e+17,3.170839429644597e+17,9.296705978113592e+16,899332497081511.0,0,0
217728,5.318897072324716e+17,3.1715557398224454e+17,9.296931844329312e+16,899332497081582.9,0,0
219456,5.3218235450314144e+17,3.1722714228751014e+17,9.297158562943856e+16,899332497081654.6,0,0
221184,5.3247247094993235e+17,3.172986558968243e+17,9.297386124650043e+16,899332497081726.4,0,0
222912,5.327601196147789e+17,3.173701224283517e+17,9.297614520147962e+16,899332497081798.2,0,0
224640,5.330453615976183e+17,3.174415491192555e+17,9.297843740152797e+16,899332497081835.9,0,0
