Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
0,73105055313953,,,,44856345316868.9,20755142590767.7,1719792516.52356,,,,,,
0,,6809506527259215,,,,,,3556208835775893,1.33670088906024E+015,5311020966622.9,,,
0,,,5.22922857290727E+016,,,,,,,,1.00940520816316E+016,267091559106946,74576258606.7832
1680,,1.56950184464209E+017,,,,,,1.14239418586166E+017,3.63934025465299E+016,413424500657058,,,
1728,1.5694475332984E+017,,,,1.13646167093071E+017,3.63921945663744E+016,406986792890706,,,,,,
3360,,2.34259574938964E+017,,,,,,1.79496750251803E+017,5.52645847068146E+016,597934241249071,,,
3456,2.37038680272412E+017,,,,1.81215586064769E+017,5.59459308844998E+016,598969135771375,,,,,,
5040,,2.79322994251671E+017,,,,,,2.16696997659013E+017,6.591445539489E+016,681525735706148,,,
5184,2.83018080361151E+017,,,,2.19123784782158E+017,6.68029152417826E+016,684040510369113,,,,,,
6720,,3.08937662784282E+017,,,,,,2.3882350466353E+017,7.24919433870042E+016,730470187920353,,,
6912,3.12969400229632E+017,,,,2.41369928665336E+017,7.34322977617928E+016,733427340864952,,,,,,
8400,,3.30223055671979E+017,,,,,,2.52599185331834E+017,7.6845237360789E+016,764796363573182,,,
8640,3.34389595423325E+017,,,,2.55074657207617E+017,7.77843641891948E+016,767965008854809,,,,,,
10080,,3.46516551166069E+017,,,,,,2.61626033771196E+017,7.98893235896478E+016,791074893689105,,,
10368,3.50737239214291E+017,,,,2.63991144759964E+017,8.08100340163072E+016,794323567039070,,,,,,
11760,,3.59557831676598E+017,,,,,,2.67882219705021E+017,8.21165577735029E+016,811903787013838,,,
12096,3.63796710709361E+017,,,,2.70149013295871E+017,8.30148424470666E+016,815123635481234,,,,,,
13440,,3.70343066563692E+017,,,,,,2.72474505014823E+017,8.38083043867725E+016,828622687926066,,,
13824,3.74583100494578E+017,,,,2.74667214378981E+017,8.46847140380431E+016,831730918841642,,,,,,
